id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1950,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3204160,BANJARAN,32.04.13,BANJARAN,SMP NEGERI 2 BANJARAN,20213927,NEGERI,JL. RAYA MARANGGI NO.1,2023
1951,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3204160,BANJARAN,32.04.13,BANJARAN,SMP NEGERI 3 BANJARAN,20263953,NEGERI,JALAN DESA NO.01,2023
1952,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3204160,BANJARAN,32.04.13,BANJARAN,SMP ISLAM TERPADU NAILUL KHOIR,69830187,SWASTA,BLOK PANYINDANGAN RT.02 RW.01,2023
1953,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204161,CANGKUANG,32.04.44,CANGKUANG,SMPN 1 CANGKUANG,20253986,NEGERI,JL. TENJOLAYA,2023
1954,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204161,CANGKUANG,32.04.44,CANGKUANG,SMP BHAKTI MULYA BANJARAN,20206217,SWASTA,JL. RAYA CIHERANG NO.96 CANGKUANG,2023
1955,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204161,CANGKUANG,32.04.44,CANGKUANG,SMP LABSCHOOL PULPEN,69973068,SWASTA,JL. KP. MALAKASARI RT.2/8,2023
1956,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204161,CANGKUANG,32.04.44,CANGKUANG,SMP PASUNDAN 1 CANGKUANG,20254229,SWASTA,JL. BABAKAN LAKSANA RT 01/01,2023
1957,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204161,CANGKUANG,32.04.44,CANGKUANG,SMP PLUS AL MUHSININ,20227745,SWASTA,JL. NAGRAK NO. 64,2023
1958,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204161,CANGKUANG,32.04.44,CANGKUANG,SMP SAIS 1,69978534,SWASTA,JL. GADING TUTUKA 2,2023
1959,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMPN 1 PAMEUNGPEUK,20206129,NEGERI,JL. SINDANGRERET NO. 32 PAMEUNGPEUK,2023
196,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201080,CIJERUK,32.01.28,CIJERUK,SMPS IT ARRAHMAH,69725881,SWASTA,JLN. RE SUMANTADIREDJA TANJAKAN BARAT PALASARI CIJERUK,2023
1960,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMPN 2 PAMEUNGPEUK,20255832,NEGERI,JL. HEGARSARI,2023
1961,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP AMS PAMEUNGPEUK,20252482,SWASTA,JL. RAYA BANJARAN KM.14,2023
1962,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP BINA BANGSA INDONESIA,20227711,SWASTA,JL. SINDANGRERET NO. 34,2023
1963,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP BINA MULYA,20251816,SWASTA,JL RANCAKASIAT NO. 01,2023
1964,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP PGRI PAMEUNGPEUK,20227730,SWASTA,"JLN RAYA BANJARAN KM 13,5",2023
1965,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP TARUNA BOJONGKUNCI PAMEUNGPEUK,20227758,SWASTA,JL.DOTON,2023
1966,32,JAWA BARAT,3205,KABUPATEN GARUT,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMPN 1 Pameungpeuk,20209398,NEGERI,JL. RAYA CILAUTEUREUN NO. 134,2023
1967,32,JAWA BARAT,3205,KABUPATEN GARUT,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMPN 2 Pameungpeuk,20262011,NEGERI,JALAN RAYA PAMEUNGPEUK - CISOMPET KM. 3 (CIGADOG),2023
1968,32,JAWA BARAT,3205,KABUPATEN GARUT,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP IT AS SYIDIQ PAMEUNGPEUK,69888771,SWASTA,KP. GEMBRONG RT 01/06,2023
1969,32,JAWA BARAT,3205,KABUPATEN GARUT,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP IT MIFTAHUL HUDA PAMEUNGPEUK,69950498,SWASTA,JL. PESANTREN KP. JAMPANG RT 01 RW 09,2023
197,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201080,CIJERUK,32.01.28,CIJERUK,SMPS NAHDLATUL ULAMA BOGOR,20268465,SWASTA,CIHIDEUNG RT.05 RW02,2023
1970,32,JAWA BARAT,3205,KABUPATEN GARUT,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP MUHAMMADIYAH PAMEUNGPEUK,20209255,SWASTA,JL. RAYA CIGODEG NO. 83,2023
1971,32,JAWA BARAT,3205,KABUPATEN GARUT,3204170,PAMEUNGPEUK,32.04.14,PAMEUNGPEUK,SMP PGRI PAMEUNGPEUK,20209270,SWASTA,JL. GEUSAN ULUN NO. 86,2023
1972,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204180,KATAPANG,32.04.11,KATAPANG,SMP NEGERI 3 KATAPANG,70030516,NEGERI,KP. BARAJA RT.02 RW 20,2023
1973,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3204180,KATAPANG,32.04.11,KATAPANG,SMPN 1 KATAPANG,20206044,NEGERI,JLN. TERUSAN KOPO KM.13 NO.245,2023
