id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1170,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMAN 2 CIKARANG UTARA,20253190,NEGERI,JL. RAYA LEMAH ABANG CIKARANG UTARA BEKASI,2023
1171,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMAN 3 CIKARANG UTARA,20245434,NEGERI,JL. MELATI RAYA BLOK A PERUM BUMI CITRA LESTARI CIKARANG UTARA,2023
1172,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMA ISLAM AL AZHAR 22,70008990,SWASTA,"JALAN DR. CIPTO MANGUNKUSUMO, JABABEKA",2023
1173,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMA ISLAM DARUNNADWAH,69943870,SWASTA,JL. PEJUANG KP. RAWA KUDA DESA KARANGHARUM KECAMATAN KEDUNG WARINGIN 17540,2023
1174,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMA IT EZZAT EL FATIR,70007150,SWASTA,"JALAN URIP SUMOHARJO NO. 54, KOMPLEKS AL BARKAH",2023
1175,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMA KRISTEN PENABUR KOTA JABABEKA,69986554,SWASTA,JL. DOUWES DEKKER NO. 1,2023
1176,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMA SANTO LEO III,69964623,SWASTA,JL. DR. CIPTO MANGUNKUSUMO BLOK B 5 JABABEKA,2023
1177,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMAS AL ICHWAN,20269741,SWASTA,JL. RAYA SIMPANG TIGA CIKARANG,2023
1178,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMAS PRESIDEN (BOARDING SCHOOL),20252288,SWASTA,JABABEKA EDUCATION PARK JL. KI HAJAR DEWANTARA,2023
1179,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216061,CIKARANG UTARA,32.16.09,CIKARANG UTARA,SMAS RIYADLUL JANNAH,20244733,SWASTA,JL. INDUSTRI NO. 114 PASIR GOMBONG CIKARANG UTARA,2023
1180,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216062,KARANGBAHAGIA,32.16.10,KARANG BAHAGIA,SMAN 1 KARANG BAHAGIA,20237989,NEGERI,JL. BUYUT KAIPAH NO. 11,2023
1181,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216062,KARANGBAHAGIA,32.16.10,KARANG BAHAGIA,SMAS ISLAM KARANGBAHAGIA,20253753,SWASTA,JL. PILAR SUKATANI KP.SUKAMANTRI,2023
1182,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216071,CIKARANG BARAT,32.16.08,CIKARANG BARAT,SMAN 1 CIKARANG BARAT,20237986,NEGERI,PERUM TELAGA HARAPAN BLOK D CIKARANG BARAT,2023
1183,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216071,CIKARANG BARAT,32.16.08,CIKARANG BARAT,SMAN 2 CIKARANG BARAT,69964653,NEGERI,PERUMAHAN METLAND CIBITUNG CIKARANG BARAT,2023
1184,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216071,CIKARANG BARAT,32.16.08,CIKARANG BARAT,SMA IT NURUL FAJRI,69989763,SWASTA,JL.TELAGA ASIH NO.55B,2023
1185,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216071,CIKARANG BARAT,32.16.08,CIKARANG BARAT,SMAIT AL-ARABI,69947131,SWASTA,"KOMPLEK YPI AL-ARABI, JL. PEMUDA KAVLING, BOJONG KONENG",2023
1186,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216071,CIKARANG BARAT,32.16.08,CIKARANG BARAT,SMAS AL MAGHFIRAH,20244052,SWASTA,JL. KP. UTAN SETU TELAJUNG CIKARANG BARAT,2023
1187,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216071,CIKARANG BARAT,32.16.08,CIKARANG BARAT,SMAS AL MAMUR,20238002,SWASTA,JL. HOS COKROAMINOTO NO. 9,2023
1188,32,JAWA BARAT,3216,KABUPATEN BEKASI,3216071,CIKARANG BARAT,32.16.08,CIKARANG BARAT,SMAS DAARUL FIKRI,69873594,SWASTA,KP. WARUNG BAMBU RT.01/09,2023
