id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,24326,ORANG,2022/2023
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,32577,ORANG,2022/2023
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,7583,ORANG,2022/2023
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,34227,ORANG,2022/2023
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,8204,ORANG,2022/2023
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,44890,ORANG,2022/2023
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,16909,ORANG,2022/2023
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,47331,ORANG,2022/2023
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,13582,ORANG,2022/2023
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,32522,ORANG,2022/2023
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,6564,ORANG,2022/2023
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,69079,ORANG,2022/2023
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,20498,ORANG,2022/2023
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,85161,ORANG,2022/2023
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,41021,ORANG,2022/2023
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,40062,ORANG,2022/2023
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,22539,ORANG,2022/2023
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,11313,ORANG,2022/2023
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,2015,ORANG,2022/2023
253,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,19294,ORANG,2022/2023
254,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,22880,ORANG,2022/2023
255,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,12594,ORANG,2022/2023
256,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,2868,ORANG,2022/2023
257,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,57804,ORANG,2022/2023
258,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,40752,ORANG,2022/2023
259,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,14182,ORANG,2022/2023
260,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,3441,ORANG,2022/2023
261,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,56897,ORANG,2022/2023
262,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,38961,ORANG,2022/2023
263,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,36324,ORANG,2022/2023
264,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,37901,ORANG,2022/2023
