id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
19291,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 3 GOBRAS,20224290,NEGERI,KP. CIWAAS DEPOK,2023
19292,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 3 SETIAMULYA,20224633,NEGERI,WARUNG ASEM RT 02 RW 03,2023
19293,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 3 SUMELAP,20224690,NEGERI,KP.CIPANGEBAK,2023
19294,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 4 SETIAMULYA,20224632,NEGERI,KP.GUNUNGGEDE,2023
19295,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN 4 SUMELAP,20224689,NEGERI,KP. CIHARASHAS,2023
19296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN CIANGIR,20224452,NEGERI,KP.CIANGIR,2023
19297,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN CIBANGBAY,20224463,NEGERI,JL.SUKASARI,2023
19298,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN CISENGKOL,20224332,NEGERI,KP. KUBANGSARI,2023
19299,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN MUGARSARI,20224692,NEGERI,JL. MUGARSARI NO.02,2023
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,SD N BOJONG NANGKA 02,20201462,NEGERI,JL. RAYA BOJONGNANGKA RT. 15 RW. 07,2023
1930,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SD NEGERI PARIS,20201941,NEGERI,KP. PARIS,2023
19300,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN PANUNGGULAN,20224643,NEGERI,KP. CIWAAS DEPOK RT 01 RW 03,2023
19301,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN SANGKALI,20224637,NEGERI,JL. MULYASARI,2023
19302,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN TAMANSARI,20224687,NEGERI,KP. CIGARU,2023
19303,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDN TIRTAYASA,20224552,NEGERI,KP.SIRNASARI,2023
19304,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SD ISLAM AL AZHAR 33,20252299,SWASTA,JL. TAMANSARI NO.14,2023
19305,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SD ISLAM TERPADU (SDIT) RUHIYATUL IRNA,70030132,SWASTA,JL. SINDANGSARI 001/005,2023
19306,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SD IT AL MUSLIMIN,20254559,SWASTA,JL.TAMANSARI NO.12,2023
19307,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SD TAHFIDZ MATHLAUL IHSAN,69959280,SWASTA,CILEDUG RT.03 RW.01,2023
19308,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3201071,TAMANSARI,32.01.31,TAMANSARI,SDIT IDRISIYYAH TAMANSARI,69972518,SWASTA,KARANGSAMBUNG RT.01 RW.11,2023
19309,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 1 PARAKANNYASAG,20224653,NEGERI,JL.LEUWIDAHU KALER NO 7,2023
1931,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SD NEGERI PASIR KOLOTOK,20202055,NEGERI,KP. PASIR KOLOTOK,2023
19310,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 1 SINDANGPALAY,20224704,NEGERI,JL.MANG KOKO,2023
19311,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 1 SUKAMAJU,20224715,NEGERI,JL.PARAKANHONJE NO 1,2023
19312,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 2 PARAKANNYASAG,20224654,NEGERI,JL. LEUWIDAHU KALER NO. 7,2023
19313,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 2 SINDANGPALAY,20224703,NEGERI,PAMULIHAN,2023
