id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
209,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,15231,ORANG,2021/2022
210,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,12737,ORANG,2021/2022
211,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,7464,ORANG,2021/2022
212,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,2061,ORANG,2021/2022
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,11920,ORANG,2021/2022
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,3898,ORANG,2021/2022
215,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3070,ORANG,2021/2022
216,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,173,ORANG,2021/2022
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,48357,ORANG,2022/2023
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,40924,ORANG,2022/2023
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,26944,ORANG,2022/2023
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,13629,ORANG,2022/2023
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,15693,ORANG,2022/2023
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,17525,ORANG,2022/2023
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,25576,ORANG,2022/2023
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,36972,ORANG,2022/2023
225,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,30082,ORANG,2022/2023
226,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,22143,ORANG,2022/2023
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,16287,ORANG,2022/2023
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,11610,ORANG,2022/2023
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,15404,ORANG,2022/2023
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,2464,ORANG,2022/2023
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,19113,ORANG,2022/2023
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,1341,ORANG,2022/2023
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,21238,ORANG,2022/2023
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,5500,ORANG,2022/2023
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,19294,ORANG,2022/2023
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,1770,ORANG,2022/2023
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,14789,ORANG,2022/2023
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,4108,ORANG,2022/2023
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,18574,ORANG,2022/2023
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,3427,ORANG,2022/2023
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,20793,ORANG,2022/2023
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,6255,ORANG,2022/2023
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,15867,ORANG,2022/2023
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,2021,ORANG,2022/2023
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,29219,ORANG,2022/2023
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,3852,ORANG,2022/2023
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,47258,ORANG,2022/2023
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,12928,ORANG,2022/2023
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,18891,ORANG,2022/2023
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,10939,ORANG,2022/2023
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4459,ORANG,2022/2023
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,439,ORANG,2022/2023
253,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,9923,ORANG,2022/2023
254,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,11541,ORANG,2022/2023
